Vaka_ID,Ulke_Bolge,Yil,Proje_Sektoru_v4,FIDIC_Kitap_Turu,Atif_Maddeler,Kurum_Yargi_Yeri,Uyusmazlik_Ozeti,Claim_Turu,Eskalasyon_Asamasi,Sonuc_Yonu,Vaka_Adi,Kaynak,Karar_Yonu_Ham,Tahmini_Tutar_USD,Sure_Yil_Cikarilan
173,İngiltere/UK,2002,Hastane/Saglik,FIDIC-dışı,Ozet Nota bakiniz,"Technology and Construction Court, England and Wales","Sozlesme FIDIC degildi, ama FIDIC'in proje yonetimi tanimina atif yapildi.",Siniflandirilmamis/Veri Yetersiz,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,Royal Brompton Hospital NHS Trust v Hammond & Ors,Corbett & Co Table,,,
174,BELİRSİZ (İncelenmeli),2003,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),67,Bati Afrika Devleti,"Devlet Isveren'in yerel mahkemeye basvurarak tahkimi iptal ettirme girisimi; heyet kendi yetkisini ICC Kurallari m.6(2) geregi kendisi tespit etme gorevi oldugunu, dolandiricilik iddialarina bakamayac",Siniflandirilmamis/Veri Yetersiz,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC First Partial Award in Case 12048,Corbett & Co Table,,,
175,Falkland Adaları,2003,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 4. Baskı Rev. (1992),53; 53.1-53.4,"Supreme Court, Falkland Islands","'Guncel kayit' (contemporary record) tanimi yapildi; taniklik ifadelerinin guncel kayit eksikligini telafi edemeyecegine, kayitsiz kalan taleplerin reddedilecegine karar verildi.",Delil Degerlendirmesi/Tanik,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,A.G. Falkland Islands v Gordon Forbes Construction (Falklands) No.2,Corbett & Co Table,,,
176,İngiltere/UK,2003,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 4. Baskı (1987),Madde belirtilmemis,"High Court, England and Wales",Sigorta uyusmazligi; FIDIC sozlesmesiyle dogrudan ilgili degil.,Sigorta Uyusmazligi,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,Mabey and Johnson Limited v Ecclesiastical Insurance Office Plc,Corbett & Co Table,,,
179,Romanya,2003,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 4. Baskı (1987),53.5,Romanya Yuksek Mahkemesi,"IPC'lerde onaylanan faiz tutari uzerindeki itiraz, Sub-clause 53.5 sartlari cercevesinde degerlendirildi.",Para Birimi/Faiz Uyusmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,SCJ Decision No. 3827/2002,Corbett & Co Table,,,
180,İngiltere/UK,2003,Fosil Yakit/Petrol-Gaz,Kırmızı Kitap - 4. Baskı Rev. (1992),1.5;1.13.4;1.19.1;3.3.3-3.3.6;6.4;12.2;14;44;44.1;44.2;51;51.1;53;53.1-53.4;60.8;67.3;69;69.1;69.4,"London, United Kingdom","Sure uzatimi, ek maliyet ve faiz taleplerinde bildirim sartlari (Cl.44.2/53.1) degerlendirildi.",Gecikme/EOT,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Interim Award in Case 10847,Corbett & Co Table,,,
181,İsveç,2003,Belirsiz/Veri Yetersiz,"FIDIC-benzeri (bespoke, tam FIDIC değil)",1.4; 20.6,"Svea Court of Appeal, Isvec","Hollanda-Cek BIT'i altinda verilen kararin iptali basvurusu; yedi ayri gerekce (yetki, hakem tarafsizligi, kamu duzeni vb.) reddedildi.",Hakem Karari Iptali,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Case No. T 8735-01,Corbett & Co Table,,,
182,Trinidad ve Tobago,2004,Egitim/Kampus,Kırmızı Kitap - 4. Baskı (1987),5;5.2;5.2.4;8.1;11;11.1;12;12.1;12.2;20.4;39;39.1;39.2;51.2;52.3;53;53.1-53.4;63;63.1;66;67;67.3,"High Court, Trinidad and Tobago","ICC kararinin iptali reddedildi; Muhendis'in bagimsizligi, kotu iscilik/tasarim sorumlulugu ve fesih gecerliligi degerlendirilerek kararda hata bulunmadi.",Fesih,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,ICS (Grenada) Limited v NH International (Caribbean) Limited,Corbett & Co Table,,,
184,Papua Yeni Gine,2004,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 4. Baskı (1987),67,"National Court, Papua New Guinea",Sozlesmedeki yasadisilikilik iddiasiyla tahkimin durdurulmasi talep edildi; mahkeme Isveren'i ICC tahkiminde ileri adim atmaktan men etti.,Sozlesmenin Yasadisiligi Iddiasi,Ilk Derece Tahkim (ICC/ICSID/LCIA/vb),Belirsiz/Veri Yok,State v Barclay Bros (PNG) Ltd,Corbett & Co Table,,,
185,Yeni Zelanda,2004,Belirsiz/Veri Yetersiz,FIDIC (Kitap Rengi Belirsiz) - 3. Baskı (1977),1;1.1.12;8.1;19.1;30.1-30.5;42;42.1;42.2;42.4;42.6,"Court of Appeal, New Zealand","Yuklenici'nin operatore (isveren disi 3. taraf) karsi ozen borcu bulunmadigina, ticari taraflar arasinda esit pazarlik gucu oldugunda boyle bir yukumlulugun adil olmayacagina karar verildi.",Ucuncu Taraf Sorumlulugu (Duty of Care),Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Rolls-Royce New Zealand Ltd v Carter Holt Harvey Ltd,Corbett & Co Table,,,
186,BELİRSİZ (İncelenmeli),2004,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),47;53.1;60.1;60.2;60.10;67;67.1;67.4,Bati Afrika Devleti,"Isveren'in mahsup savunmasi (Cl.60.2) reddedildi (yetki yok); alacagin yanlis para biriminde (Euro) talep edilmis olmasi, faiz hakkini ortadan kaldirmadi (Cl.60.10).",Para Birimi/Faiz Uyusmazligi,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Second Partial Award in Case 12048,Corbett & Co Table,,,
187,İsviçre,2005,Egitim/Kampus,FIDIC (Kitap Rengi Belirsiz) - 1999 (1. Baskı),18;18.1;18.3,"Bern, Switzerland","Alt yuklenicinin gecikme/kusur/diger ihlallerden sorumlu olmasina ragmen, bunlarin fesih icin yeterli agirlikta olmadigina karar verildi.",Gecikme/EOT; Fesih; Kalite/Kusur,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Final Award in Case 10951,Corbett & Co Table,,,
188,BELİRSİZ (İncelenmeli),2005,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),20.2-20.4;42.1;42.2;44.1;65;65.2;65.5,Dogu Avrupa Devleti,"Devletin arazi kamulastirmasindaki basarisizligi ve savas kaynakli olaylarin 'ozel risk' (Cl.65.2) sayilip sayilmayacagi, vergi/harclarin iadesi degerlendirildi.",Force Majeure/Savas-Isgal; Devletlestirme/Kamulastirma,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Final Award in Case 12654,Corbett & Co Table,,,
189,İsviçre,2005,Fosil Yakit/Petrol-Gaz,Kırmızı Kitap - 4. Baskı (1987),51; 63,"Geneva, Switzerland",Is cikarma (omission) varyasyonunun sozlesme ihlali oldugu ama esasli ihlal/fesih hakki dogurmadigi; Isveren'in baska yuklenicilerle calisma yukumlulugu ihlalinin de esasli olmadigi tespit edildi.,Fesih,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Partial Award in Case 13258,Corbett & Co Table,,,
190,İngiltere/UK,2005,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 4. Baskı (1987),60.1,"House of Lords, United Kingdom",Mevcut bir yetkinin hatali kullanilmasi tek basina 'yetki asimi' (excess of power) sayilmaz; salt hukuki hata yeterli degildir.,Yetki Itirazi; Vergi Uyusmazligi,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,Lesotho Highlands Development Authority v Impregilo SpA and others,Corbett & Co Table,,,
192,Hindistan,2005,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 4. Baskı (1987),42.1;42.2;53.1-53.3;67.3,"Orissa High Court, India",Sure uzatimi karsiliginda tazminat talep etmeme taahhudune ragmen sonradan talep edilen tazminatin (yanlis cizim/veri nedeniyle) hakem tarafindan kabulu onandi.,Gecikme/EOT,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,State of Orissa and Ors v Larsen and Toubro Ltd,Corbett & Co Table,,,
195,Hindistan,2006,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),10;44;60;67;70,"Delhi Yuksek Mahkemesi, Hindistan",Isveren'in bildirimsiz ve keyfi olarak tum teminatlari (performans + 17 stopaj teminati) nakde cevirmesi tartisildi.,Teminat Mektubu,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Hindustan Construction Co Ltd v Satluj Jal Vidyut Nigam Ltd,Corbett & Co Table,,,
196,Jamaika,2006,Demiryolu/Metro,Kırmızı Kitap - 4. Baskı (1987),2;3;67;67.3,Jamaika Yuksek Mahkemesi,"FIDIC ICC tahkim sarti ile ozel (bespoke) Jamaika Tahkim Kanunu maddesi arasindaki celiskide, ozel hukumlerin onceligi kabul edildi.",Siniflandirilmamis/Veri Yetersiz,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Attorney General for Jamaica v Construction Developers Associated Ltd,Corbett & Co Table,,,
197,İsviçre,2006,Madencilik,BELİRSİZ (kaynakta belirtilmemiş),Ozet Nota bakiniz,"Zurich, Switzerland","FIDIC, adjudikator atama makami olarak rol oynadi.",Siniflandirilmamis/Veri Yetersiz,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Procedural Order (Eylul 2006) in Case 14079,Corbett & Co Table,,,
198,BELİRSİZ (İncelenmeli),2006,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),52.1-52.3;58.1;60;60.10;67;67.1;67.3;70,Bati Afrika Devleti,Sozlesme Bedeli Ayarlamasi (Cl.52.3) icin miktar azaldiginda genel gider telafisi amaci acikca yorumlandi; hakem heyetinin on-hukum faizi tayin yetkisi mahkemelerinkiyle es tutuldu.,Para Birimi/Faiz Uyusmazligi,Ilk Derece Tahkim (ICC/ICSID/LCIA/vb),Belirsiz/Veri Yok,ICC Final Award in Case 12048 (Nihai Karar),Corbett & Co Table,,,
199,Avustralya,2006,Belirsiz/Veri Yetersiz,FIDIC-dışı,Ozet Nota bakiniz,"Supreme Court, Victoria, Australia",FIDIC-disi sozlesme; sure uzatimina ornek olarak FIDIC kullanildi.,Gecikme/EOT,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,620 Collins Street Pty Ltd v Abigroup Contractors Pty Ltd,Corbett & Co Table,,,
200,Papua Yeni Gine,2007,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),Ozet Nota bakiniz,"National Court, Papua New Guinea",Alt sozlesme uyusmazligi; ana sozlesmedeki varyasyonlara atif yapildi.,Siniflandirilmamis/Veri Yetersiz,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,Nivani Ltd v China Jiangsu International (PNG) Ltd,Corbett & Co Table,,,
202,Kenya,2007,Belirsiz/Veri Yetersiz,BELİRSİZ (kaynakta belirtilmemiş),Ozet Nota bakiniz,"Kenya Yuksek Mahkemesi, Nairobi",FIDIC ile dogrudan ilgisi az; ekipman/isci bos zamani (idle time) kisaca aciklandi.,Siniflandirilmamis/Veri Yetersiz,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Jacob Juma v Commissioner of Police,Corbett & Co Table,,,
203,Hindistan,2007,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 4. Baskı (1987),48.1,"Gelir Vergisi Istinaf Kurulu, Yeni Delhi, Hindistan","Vergi davasi olmasina ragmen, Yuklenici'nin proje tam operasyonel oldugunda dahi devam eden yukumlulugu tespit edildi.",Vergi Uyusmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Ahmedabad Vadodara v Income Tax Officer,Corbett & Co Table,,,
204,Trinidad ve Tobago,2007,Karayolu/Otoyol,FIDIC (Kitap Rengi Belirsiz) - 1999 (1. Baskı),3.1;14;14.1;14.3;14.6;14.7;16.1;20;20.4,"High Court, Trinidad and Tobago","2 IPC'nin odenmemesi nedeniyle verilen gaip (default) hukmu, uyusmazligin DAB'a (Cl.20) gonderilmesi gerektigi gerekcesiyle kaldirildi.",DAB/Hakem Prosedur Usulsuzlugu,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,General Earthmovers Limited v Estate Management And Business Development Company,Corbett & Co Table,,,
205,Güney Afrika,2007,Karayolu/Otoyol,Gümüş Kitap - 1999 (1. Baskı),4.12;8.4;11.10,"High Court, Natal, South Africa",King Shaka Havaalani ihalesine iliskin belge ibrazi talebi; FIDIC'e sadece gecerken deginildi.,Ihale Sureci,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,Avenge (Africa) Limited (eski Grinaker-LTA) and Others v Dube Tradeport and Others,Corbett & Co Table,,,
206,Botsvana,2007,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),4.1; 59.1,"High Court, Botswana","Alt yuklenici 'nominated' olmadigindan, fesih yetkisinin Ana Yuklenici'de kaldigina, tedbir talebinin reddine karar verildi.",Fesih,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,Knowman Enterprises Ltd v China Jiangsu International Botswana,Corbett & Co Table,,,
207,Arnavutluk,2008,Su/Atik Su/Baraj,Kırmızı Kitap - 1999 (1. Baskı),20.6,Arnavutluk Yuksek Mahkemesi,Iki Arnavut taraf arasinda tahkimin (Sub-clause 20.6) uygun forum olup olmadigi degerlendirildi.,Siniflandirilmamis/Veri Yetersiz,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Firma ELSIDI v Department of Water and Sewage (Ekim 2008),Corbett & Co Table,,,
208,Trinidad ve Tobago,2008,Su/Atik Su/Baraj,Kırmızı Kitap - 1999 (1. Baskı),2.4;15.2;16.1,"High Court, Trinidad and Tobago","Isveren'in finansal duzenleme (Cl.2.4) ihlali nedeniyle Yuklenici'nin fesih hakki oldugu, Isveren'in zenginligi tek basina yeterli kanit olmadigi tespit edildi.",Fesih,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,National Insurance Property Development Company Ltd v NH International (Caribbean) Limited,Corbett & Co Table,,,
209,Svaziland/Eswatini,2008,Bina/Konut/Ticari,Kırmızı Kitap - 1999 (1. Baskı),14,High Court of Swaziland,"Nihai odeme belgesindeki tutarin odenmemesi uzerine ozet yargilama talebi; Muhendis'in Isveren'in acentesi oldugu, sertifikanin gecerliligine sartsiz itiraz edilemeyecegi tespit edildi.",Odeme Uyusmazligi,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,Construction Associates (Pty) Ltd v CS Group of Companies (Pty) Ltd,Corbett & Co Table,,,
210,İngiltere/UK,2008,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),8.7,"Technology and Construction Court, England and Wales",FIDIC-disi sozlesme; 'temerrutten dogan tum borc' ifadesine dair yorum sagladi.,Siniflandirilmamis/Veri Yetersiz,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,Biffa Waste Services Ltd & Anor v Maschinenfabrik Ernst Hese GmbH & Ors,Corbett & Co Table,,,
211,Hindistan,2008,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),Ozet Nota bakiniz,"Delhi Yuksek Mahkemesi, Hindistan",Devlet vergisinin (cess) Isveren mi Yuklenici mi tarafindan karsilanacagi; sozlesme FIDIC degildi ama FIDIC'e atif yapildi.,Vergi Uyusmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,National Highways Authority of India v M/S Afcons Infrastructure Limited,Corbett & Co Table,,,
212,İsviçre,2008,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),Red 1999: 3.4;20;20.2;20.4;20.6;20.8. Red 1992: 67;67.1;67.3,"Zurich, Switzerland",Adjudikasyona basvurmanin tahkimden once zorunlu adim oldugu; imzasiz taslak mektubun DAB niyetini bildirmek icin yetersiz oldugu tespit edildi.,DAB/Hakem Prosedur Usulsuzlugu,DAB/DAAB (On-Tahkim Kurulu),Belirsiz/Veri Yok,ICC Interim Award in Case 14431,Corbett & Co Table,,,
213,İngiltere/UK,2008,Yenilenebilir Enerji,Gümüş Kitap - 1999 (1. Baskı),1.4.1;8.4;8.7;20.2;20.2.2,"Technology and Construction Court, England and Wales",36 ruzgar turbini EPC sozlesmesinde hakem yerinin (seat) Ingiltere mi Iskocya mi oldugu tartismasi.,Siniflandirilmamis/Veri Yetersiz,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,Braes of Doune Wind Farm (Scotland) Ltd v Alfred McAlpine Business Services Ltd,Corbett & Co Table,,,
217,Hindistan,2009,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),54.1;60.7;63.1,"Delhi Yuksek Mahkemesi, Hindistan",Fesih sonrasi 3. taraftan kiralanan ekipmanin Isveren tarafindan elde tutulup tutulamayacagi; 3. tarafin heyete basvurabilecegine karar verildi (bkz. 2010 istinaf).,Fesih,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,National Highways Authority of India v M/S Youone Maharia JV (1 Temmuz 2009),Corbett & Co Table,,,1
218,Trinidad ve Tobago,2009,Su/Atik Su/Baraj,Kırmızı Kitap - 1999 (1. Baskı),2.5;11.10;13.5;16.4;19.6;20.1;53 (4th Ed.),"High Court, Trinidad and Tobago",Guncel kayit (Cl.20.1) tanimi netlestirildi: kayitsiz talep basarisiz olur; bagimsiz miktar surveyorunun yetkisi Cl.20.1'i gecersiz kilmaz.,Delil Degerlendirmesi/Tanik,Ilk Derece Devlet Mahkemesi,Belirsiz/Veri Yok,National Insurance Property Development v NH International (Caribbean) Limited,Corbett & Co Table,,,
219,Hindistan,2009,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),51;51.1;51.2;52;52.1;52.2,"Delhi Yuksek Mahkemesi, Hindistan",Yol rehabilitasyonu ile ilgili hakem kararinin cogunlukla makul/onanabilir bulundugu (bir kalem haric) tespit edildi.,Siniflandirilmamis/Veri Yetersiz,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,National Highways Authority of India v M/S ITD Cementation India Ltd,Corbett & Co Table,,,
220,Rusya,2009,Fosil Yakit/Petrol-Gaz,Kırmızı Kitap - 1999 (1. Baskı),8.4;20.1;20.4,"Court of Supreme Supervision, Russia",Ihale belgelerinde belirtilmeyen ongorulemeyen zemin kosullari + odeme gecikmesi nedeniyle sure uzatimi Yuklenici lehine karara baglandi (DAB atanmamisti).,Gecikme/EOT; Zemin Kosullari; Odeme Uyusmazligi; Ihale Sureci,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,Russian case - 1,Corbett & Co Table,,,
221,Rusya,2010,Fosil Yakit/Petrol-Gaz,Kırmızı Kitap - 1999 (1. Baskı),11,"Court of Cassation, Russia","Rus hukukunda goturu tazminatin ispatlanmasi gerektigi, FIDIC'teki on-tahmini zararin ceza sayilabilecegi tespit edilerek Isveren'in talebi reddedildi.",Degisiklik/Change Order,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Russian case - 2,Corbett & Co Table,,,
222,Rusya,2010,Fosil Yakit/Petrol-Gaz,BELİRSİZ (kaynakta belirtilmemiş),Belirtilmemis,"Court of Appeal, Russia",Tamamlama suresinin takvim tarihiyle belirtilmemis olmasi nedeniyle Rus hukukuna gore sozlesmenin kurulmadigina karar verildi; teminat iadesi emredildi.,Siniflandirilmamis/Veri Yetersiz,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Russian case - 3,Corbett & Co Table,,,
223,BELİRSİZ (İncelenmeli),2010,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),20,Dogu Avrupa Sehri,"DAB'in fesih kararindan sonra, tamamlama maliyetinin DAB'a tekrar goturulmeden dogrudan tahkimde talep edilebilecegi; 42 gun icinde DAA imzalanmazsa DAB'in tek tarafli atanabilecegi tespit edildi.",Fesih,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Procedural Order in Case 15956,Corbett & Co Table,,,
224,BELİRSİZ (İncelenmeli),2010,Madencilik,Kırmızı Kitap - 2008,Red: 20.4-20.8. Gold: 20.8;20.9,Dogu Avrupa Baskenti,DAB kararlarinin baglayici oldugu ama hakemin kismi kararla bunu 'kesin' hale getiremeyecegi (DAB karari gecici niteliktedir) tespit edildi.,DAB/Hakem Prosedur Usulsuzlugu,DAB/DAAB (On-Tahkim Kurulu),Belirsiz/Veri Yok,ICC Partial Award in Case 16119,Corbett & Co Table,,,
225,İngiltere/UK,2010,Belirsiz/Veri Yetersiz,Sarı Kitap - 1999 (1. Baskı),1.5;1.6;20;20.2-20.8,"London, United Kingdom",DAA imzalanmamis olsa dahi DAB'in 'yerinde' (in place) sayilacagina karar verildi.,DAB/Hakem Prosedur Usulsuzlugu,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Partial Award in Case 16262,Corbett & Co Table,,,
226,BELİRSİZ (İncelenmeli),2010,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),2.5;3.5;4.19;4.20;14.12;15.2-15.4;20;20.3-20.8,Dogu Avrupa Sehri,DAB fesih kararindan sonra tamamlama maliyetinin tahkimde talep edilebilecegi teyit edildi.,Fesih,DAB/DAAB (On-Tahkim Kurulu),Belirsiz/Veri Yok,ICC Partial Award in Case 15956 (2. kayit),Corbett & Co Table,,,
227,Hindistan,2010,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),Ozet Nota bakiniz,"Delhi Yuksek Mahkemesi, Hindistan","Muhendis'in cizimlerdeki belirsizlikleri duzeltme yetkisinin, sonradan celiski yaratan bir alt maddeyi de kapsadigina karar verildi (degistirilmis Cl.5.2).",Muhendis/Mimar Karari - Clause 67 Usulu,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,National Highways Authority of India v Unitech-NCC Joint Venture (8 Mart 2010),Corbett & Co Table,,,
228,Hindistan,2010,Karayolu/Otoyol,BELİRSİZ (kaynakta belirtilmemiş),Ozet Nota bakiniz,"Delhi Yuksek Mahkemesi, Hindistan",8 Mart 2010 karari ayni gerekcelerle onandi.,Siniflandirilmamis/Veri Yetersiz,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,"National Highways Authority of India v Unitech-NCC Joint Venture (30 Agustos 2010, istinaf)",Corbett & Co Table,,,
229,Hindistan,2010,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı Rev. (1992),1.1;54.1;61;61.1;63.1;63.1(4),"Delhi Yuksek Mahkemesi, Hindistan","Isveren'in, Yuklenici'nin sahaya getirdigi (3. taraftan kiralanmis dahil) tum ekipmani fesih sonrasi elde tutup kullanabilecegine karar verildi.",Fesih,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,"National Highways Authority of India v M/S You One Maharia JV (21 Eylul 2010, istinaf)",Corbett & Co Table,,,
230,Fransa (Paris - ICC Merkezi),2010,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),20.1;20.2;20.4;20.6;20.8,"Paris, France","Talep bilgisi eksik olsa dahi, DAB olmadigi icin Yuklenici'nin dogrudan tahkime basvurabilecegine karar verildi.",DAB/Hakem Prosedur Usulsuzlugu,DAB/DAAB (On-Tahkim Kurulu),Belirsiz/Veri Yok,ICC Interim Award in Case 16155,Corbett & Co Table,,,
231,BELİRSİZ (İncelenmeli),2010,Kopru/Tunel,Kırmızı Kitap - 4. Baskı (1987),5.2;9;48.1;48.2;49;49.1;50;60.3;64.1,Dogu Avrupa Baskenti,"12 aylik kusur donemi sonrasi teminat serbest birakmasinin, 5 yillik yasal garantiyle celismedigi tespit edildi.",Kalite/Kusur,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Final Award in Case 15789,Corbett & Co Table,,,
232,Hindistan,2010,Kopru/Tunel,Kırmızı Kitap - 4. Baskı (1987),53.1-53.5;67.3,Calcutta Yuksek Mahkemesi,Hakem heyetinin gerekce sunmamasi nedeniyle karar iptal edildi (Hindistan Tahkim Kanunu m.31(3)).,Hakem Karari Iptali; Usuli Ihlal (Adil Yargilanma),Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,State Of West Bengal vs Afcons Infrastructure Ltd,Corbett & Co Table,,,
233,BELİRSİZ (İncelenmeli),2010,Egitim/Kampus,Kırmızı Kitap - 4. Baskı (1987),7.2;51;52;52.1-52.2;53;53.1;53.3;53.4;67;67.1,Dogu Avrupa Baskenti,84 gunluk sure icinde Muhendis karar vermediginde tahkim niyetinin 70 gun icinde bildirilmesi gerektigi; bu sure asildigi icin talep zamanasimina ugradi.,Zamanasimi/Sure Siniri,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Final Award in Case 15282,Corbett & Co Table,,,
234,Hindistan,2010,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı Rev. (1992),1.1(f)(v);54.1;61;61.1;63.1(4),"Delhi Yuksek Mahkemesi, Hindistan",Sahte/tahrif edilmis banka teminatlari nedeniyle Isveren'in feshi ve ekipmana el koymasi degerlendirildi.,Devletlestirme/El Koyma,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,National Highways Authority v M/S You One Maharia (ek kayit),Corbett & Co Table,,,
236,Kıbrıs,2010,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),1.6,Kibris Yuksek Mahkemesi,Damga vergisinin ihale mektubuna gore mi (Yuklenici) yoksa Cl.1.6'ya gore mi (Isveren) odenecegi tartismasi.,Ihale Sureci,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Cybarco PLC v Cyprus,Corbett & Co Table,,,
237,Romanya,2010,Belirsiz/Veri Yetersiz,Sarı Kitap - 1999 (1. Baskı),3.1;3.2,Romanya Yargitay,"Ikinci bir ihalenin acilmasinin, ilk ihaledeki basarili teklif sahibinin mesru menfaatine zarar verdigi gerekcesiyle iptal basvurusu reddedildi.",Ihale Sureci,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,ICCJ Decision No. 3639/2010,Corbett & Co Table,,,
238,Fransa (Paris - ICC Merkezi),2010,Belirsiz/Veri Yetersiz,Gümüş Kitap - 1999 (1. Baskı),20;20.2-20.8,"Paris, France","Taraflarin DAB'i tahkim icin zorunlu on sart saymadigi, sadece tahkim yerini (seat) belirledigi tespit edildi.",Siniflandirilmamis/Veri Yetersiz,Belirsiz/Sadece Claim Asamasi,Belirsiz/Veri Yok,ICC Interim Award in Case 16083,Corbett & Co Table,,,
239,Botsvana,2010,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 4. Baskı (1987),63;63.1,Botswana Yuksek Mahkemesi,Hakemin kendisine sunulmayan konularda karar verip vermedigi (yetki asimi) degerlendirildi.,Yetki Itirazi,Istinaf/Temyiz/Yuksek Mahkeme,Belirsiz/Veri Yok,Francistown City Council v Vlug and Another,Corbett & Co Table,,,
